dataset,method,group,top_features,class_coverage,reconstruction_accuracy,reconstruction_std,semantic_preservation
nyt,prompting,1,32,0.5445375555509597,0.7219999999999999,0.046647615158762416,2.0
nyt,prompting,1,33,0.5445375555509597,0.738,0.04874423042781577,2.0
nyt,prompting,1,34,0.5445375555509597,0.744,0.051613951602255737,2.0
nyt,prompting,1,35,0.5674237615350669,0.746,0.05782732917920383,2.0
nyt,prompting,1,36,0.5674237615350669,0.7520000000000001,0.06177378084592199,2.0
nyt,prompting,1,37,0.5674237615350669,0.7520000000000001,0.06177378084592199,2.0
nyt,prompting,1,38,0.5763442770368176,0.766,0.053516352641038586,2.0
nyt,prompting,1,39,0.5763442770368176,0.758,0.05810335618533578,2.0
nyt,prompting,1,40,0.5763442770368176,0.758,0.05810335618533578,2.0
nyt,prompting,1,41,0.5858937095186073,0.762,0.06337191807101943,2.0
nyt,prompting,1,42,0.5858937095186073,0.7659999999999999,0.06311893535223799,2.0
nyt,prompting,1,43,0.597777823073684,0.766,0.06437390775772432,2.0
nyt,prompting,1,44,0.6030119460799164,0.764,0.06740919818541087,2.0
nyt,prompting,1,45,0.6030119460799164,0.764,0.07364781055808788,2.0
nyt,prompting,1,46,0.6030119460799164,0.7659999999999999,0.0739188744503053,2.0
nyt,prompting,1,47,0.6030119460799164,0.764,0.0747261667690776,2.0
nyt,prompting,1,48,0.6030119460799164,0.764,0.0747261667690776,2.0
nyt,prompting,1,49,0.6030119460799164,0.778,0.07082372483850308,2.0
nyt,prompting,1,50,0.6030119460799164,0.776,0.060860496218811726,2.0
nyt,clustering,1,1,0.09731735897321636,0.246,0.020591260281974007,0.0
nyt,clustering,1,2,0.36751824210736367,0.42800000000000005,0.023151673805580458,0.0
nyt,clustering,1,3,0.4113713952621829,0.5439999999999999,0.03261901286060017,0.0
nyt,clustering,1,4,0.4113713952621829,0.562,0.02925747767665557,0.0
nyt,clustering,1,5,0.4113713952621829,0.56,0.03405877273185279,0.0
nyt,clustering,1,6,0.4113713952621829,0.5959999999999999,0.07418894796396563,0.0
nyt,clustering,1,7,0.45723974366895986,0.634,0.0728285658241325,0.0
nyt,clustering,1,8,0.45723974366895986,0.634,0.06887670143089024,0.0
nyt,clustering,1,9,0.45723974366895986,0.6399999999999999,0.06449806198638838,0.0
nyt,clustering,1,10,0.45723974366895986,0.6399999999999999,0.06449806198638838,0.0
nyt,clustering,1,11,0.49176073113609,0.6639999999999999,0.077614431647729,0.0
nyt,clustering,1,12,0.49176073113609,0.6519999999999999,0.05153639490690051,0.0
nyt,clustering,1,13,0.49176073113609,0.65,0.048579831205964485,0.0
nyt,clustering,1,14,0.49176073113609,0.6579999999999999,0.053065996645686404,1.0
nyt,clustering,1,15,0.49176073113609,0.6699999999999999,0.05830951894845301,1.0
nyt,clustering,1,16,0.49176073113609,0.6779999999999999,0.0630555310817378,1.0
nyt,clustering,1,17,0.49176073113609,0.672,0.0515363949069005,1.0
nyt,clustering,1,18,0.5006624545002072,0.68,0.037416573867739396,1.0
nyt,clustering,1,19,0.5006624545002072,0.69,0.047749345545253286,1.0
nyt,clustering,1,20,0.5006624545002072,0.6900000000000001,0.04242640687119284,1.0
nyt,clustering,1,21,0.5006624545002072,0.696,0.04498888751680797,1.0
nyt,clustering,1,22,0.5006624545002072,0.702,0.05564171097297423,2.0
nyt,clustering,1,23,0.5202088852378837,0.76,0.043358966777357594,2.0
nyt,clustering,1,24,0.5202088852378837,0.7619999999999999,0.04707440918375928,2.0
nyt,clustering,1,25,0.5547546343864926,0.774,0.04498888751680797,2.0
nyt,clustering,1,26,0.5547546343864926,0.7699999999999999,0.04427188724235731,2.0
nyt,clustering,1,27,0.5547546343864926,0.768,0.038157568056677825,2.0
nyt,clustering,1,28,0.5547546343864926,0.762,0.04166533331199932,2.0
